kind,etag,id,channelId,videoId,kind,etag,id,channelId,videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt,canReply,totalReplyCount,isPublic,replies
youtube#commentThread,AJ_GxSp_Lp3Nd2XVLWJslrtjgqg,UgyEXxAOyK4BxRvipmF4AaABAg,UC5I6U4WuS_qYQZhrMExJ5ZQ,YbU7_ojR04U,youtube#comment,Vwk2jkXwnUJnyYijc0exqyue9U0,UgyEXxAOyK4BxRvipmF4AaABAg,UC5I6U4WuS_qYQZhrMExJ5ZQ,YbU7_ojR04U,Where from you bought dining table plz reply,Where from you bought dining table plz reply,@marvi2427,https://yt3.ggpht.com/ytc/AIdro_mWTr7xs0XQjDVGLlgoRSYIEWrJ_mAVEmv0hSDGWUCzPr83=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@marvi2427,UC3cQKk1N2oCYORFGuUV29pA,True,none,0,2024-12-23T22:39:19Z,2024-12-23T22:39:19Z,True,0,True,
youtube#commentThread,flp2RnCP9c-9lbPEsZrU8zQuBiU,Ugx6YlFIGemrWpybZZV4AaABAg,UC5I6U4WuS_qYQZhrMExJ5ZQ,YbU7_ojR04U,youtube#comment,I487EMYn1kP96smkTqPlilsOmkc,Ugx6YlFIGemrWpybZZV4AaABAg,UC5I6U4WuS_qYQZhrMExJ5ZQ,YbU7_ojR04U,congrats brother shukar hai malik ka kai mjhe ate hy mera best aprtment mill gya tha jo mera apna hai,congrats brother shukar hai malik ka kai mjhe ate hy mera best aprtment mill gya tha jo mera apna hai,@ELPASO1197,https://yt3.ggpht.com/ytc/AIdro_m4_O0g9wSdttc8JeK2JoONYWhQAcxjXxrtbrb7U7otGFg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@ELPASO1197,UCCqkrLdwbmpuIWag9wXw8Iw,True,none,0,2024-12-21T14:23:37Z,2024-12-21T14:23:37Z,True,0,True,
youtube#commentThread,V6-hAgglTFSEXxJ60zTUz9Fh6A0,UgxshXzY3EtfxOQuLOp4AaABAg,UC5I6U4WuS_qYQZhrMExJ5ZQ,YbU7_ojR04U,youtube#comment,dM_ECv9PPwAaFmh3jniNh0lHBZc,UgxshXzY3EtfxOQuLOp4AaABAg,UC5I6U4WuS_qYQZhrMExJ5ZQ,YbU7_ojR04U,Sort through the items and keep that you need <br>👍🏼,"Sort through the items and keep that you need 
👍🏼",@NeelamNaseem60,https://yt3.ggpht.com/xnXtYx-qyXkXn-PNZ4FguyFse_HJWALpLuIsWRB3nut_sJu4KQ4Qtkl8haYPV7-3E3LoRUiY=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@NeelamNaseem60,UCCG1DmXKFCvDuA0PTm4IxYQ,True,none,0,2024-12-18T18:17:50Z,2024-12-18T18:17:50Z,True,0,True,
youtube#commentThread,Sukc3dzZCnmct3Qz7C5-r5E-uzA,UgyQNQLMwFBpWixPHlp4AaABAg,UC5I6U4WuS_qYQZhrMExJ5ZQ,YbU7_ojR04U,youtube#comment,hlJBkcfHi8mRYWETkiysD1PoEag,UgyQNQLMwFBpWixPHlp4AaABAg,UC5I6U4WuS_qYQZhrMExJ5ZQ,YbU7_ojR04U,A nice message Enjoy unpacking Removal Vans Are Available for moving into your new home,A nice message Enjoy unpacking Removal Vans Are Available for moving into your new home,@NeelamNaseem60,https://yt3.ggpht.com/xnXtYx-qyXkXn-PNZ4FguyFse_HJWALpLuIsWRB3nut_sJu4KQ4Qtkl8haYPV7-3E3LoRUiY=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@NeelamNaseem60,UCCG1DmXKFCvDuA0PTm4IxYQ,True,none,0,2024-12-18T18:16:16Z,2024-12-18T18:16:16Z,True,0,True,
youtube#commentThread,HT0AG5J8MgKJO92ivNztMVRNKjQ,Ugxfl_seSdjFd_PWKWp4AaABAg,UC5I6U4WuS_qYQZhrMExJ5ZQ,YbU7_ojR04U,youtube#comment,JLqWRAcJyrzMkh3Yg-Va-z9Y_48,Ugxfl_seSdjFd_PWKWp4AaABAg,UC5I6U4WuS_qYQZhrMExJ5ZQ,YbU7_ojR04U,Hello <br>I love your vlogs ❤<br>Where did you get your dining table .?,"Hello 
I love your vlogs ❤
Where did you get your dining table .?",@monishaagarwaltvs5709,https://yt3.ggpht.com/ytc/AIdro_lkj151yueX9mzOl5ooeVQWUI-Ip66aWVb6Ex7TjN3I9w=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@monishaagarwaltvs5709,UCjwrq0jkvkWKJ_-Lf6ZE9Sw,True,none,0,2024-12-17T13:28:34Z,2024-12-17T13:28:34Z,True,1,True,"[{'kind': 'youtube#comment', 'etag': 'zN6HkWUBuz6JvZi5gucJ0SBWLw0', 'id': 'Ugxfl_seSdjFd_PWKWp4AaABAg.AC95u3fwQD-AC96v5rekdU', 'snippet': {'channelId': 'UC5I6U4WuS_qYQZhrMExJ5ZQ', 'videoId': 'YbU7_ojR04U', 'textDisplay': 'Furniture village 🙌🏼 thanks ❤️', 'textOriginal': 'Furniture village 🙌🏼 thanks ❤️', 'parentId': 'Ugxfl_seSdjFd_PWKWp4AaABAg', 'authorDisplayName': '@HumTumInEngland', 'authorProfileImageUrl': 'https://yt3.ggpht.com/ytc/AIdro_mIVnmubX06T2N-2hDLKgO-x0jr1GAfCjKNRJ-D6zJSaw=s48-c-k-c0x00ffffff-no-rj', 'authorChannelUrl': 'http://www.youtube.com/@HumTumInEngland', 'authorChannelId': {'value': 'UC5I6U4WuS_qYQZhrMExJ5ZQ'}, 'canRate': True, 'viewerRating': 'none', 'likeCount': 0, 'publishedAt': '2024-12-17T13:37:26Z', 'updatedAt': '2024-12-17T13:37:26Z'}}]"
youtube#commentThread,qjJcO2ZpwXXc1kCm8Pw7gQfNyts,UgyZ-Cb9Mm2BQElT2Ul4AaABAg,UC5I6U4WuS_qYQZhrMExJ5ZQ,YbU7_ojR04U,youtube#comment,b_defr_uSqN41o1R6hXzrTYbph4,UgyZ-Cb9Mm2BQElT2Ul4AaABAg,UC5I6U4WuS_qYQZhrMExJ5ZQ,YbU7_ojR04U,Congratulations Gaurav Veer ji and didi from new Home 🙏,Congratulations Gaurav Veer ji and didi from new Home 🙏,@SatpalSingh-mk0333,https://yt3.ggpht.com/sjyFKZGuzCyNkmvGgpa2gE2pawKcqRNNpTdEdnrsTs-1I_4wLCzDSWz4hLm-xCzrXo34Iv9KIA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@SatpalSingh-mk0333,UCr5HCLpZWdC4yGAR3jeDcqw,True,none,0,2024-12-16T05:40:57Z,2024-12-16T05:40:57Z,True,0,True,
youtube#commentThread,SY-st-VDAuZci5Q0EqMI2GOlIb0,Ugw4WmoF2r0OKA6XkWJ4AaABAg,UC5I6U4WuS_qYQZhrMExJ5ZQ,YbU7_ojR04U,youtube#comment,K5u_iJR9ipOM1dO1fDv9Si5j_f4,Ugw4WmoF2r0OKA6XkWJ4AaABAg,UC5I6U4WuS_qYQZhrMExJ5ZQ,YbU7_ojR04U,Congratulationsboth of you&amp;nice house,Congratulationsboth of you&nice house,@vanitapatel7045,https://yt3.ggpht.com/ytc/AIdro_m-xC8yngRKOLknFiUmZRIshFNb5n9YnWY9SkOs6Qc=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@vanitapatel7045,UCTqsP7cMjWxHaXcxRfSTEcg,True,none,0,2024-11-27T07:22:03Z,2024-11-27T07:22:03Z,True,0,True,
youtube#commentThread,fODxJg-7O4Ak50g3YCJG_XhwBhY,UgyUCv8A_anOpI34G-Z4AaABAg,UC5I6U4WuS_qYQZhrMExJ5ZQ,YbU7_ojR04U,youtube#comment,olMGLXop64mfXiK4LzwUTuLGUtQ,UgyUCv8A_anOpI34G-Z4AaABAg,UC5I6U4WuS_qYQZhrMExJ5ZQ,YbU7_ojR04U,Which part of Uk is this,Which part of Uk is this,@cliffordfernandes7832,https://yt3.ggpht.com/ytc/AIdro_lusCjTk-Ey6CKGxbYIpY3B_AqqLEOh9SdItSOC6IQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@cliffordfernandes7832,UCSUYoUHYx5ZCv4qa6dDh3ng,True,none,0,2024-11-11T21:31:14Z,2024-11-11T21:31:14Z,True,0,True,
youtube#commentThread,y-NUb-q9lOECqxSIbKBR4Ko5mKo,UgwrOnsF3DK0Ae5QtvR4AaABAg,UC5I6U4WuS_qYQZhrMExJ5ZQ,YbU7_ojR04U,youtube#comment,NZjkAH9L-bmCx6tfUHK60N97xrw,UgwrOnsF3DK0Ae5QtvR4AaABAg,UC5I6U4WuS_qYQZhrMExJ5ZQ,YbU7_ojR04U,You guys are amazing and your house is a dream come true,You guys are amazing and your house is a dream come true,@cliffordfernandes7832,https://yt3.ggpht.com/ytc/AIdro_lusCjTk-Ey6CKGxbYIpY3B_AqqLEOh9SdItSOC6IQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@cliffordfernandes7832,UCSUYoUHYx5ZCv4qa6dDh3ng,True,none,0,2024-11-11T21:30:04Z,2024-11-11T21:30:04Z,True,0,True,
youtube#commentThread,3LvlkOGEpvbP4XkYoMwQe-bGxmI,UgwJOMwYDgt9JEdkr7p4AaABAg,UC5I6U4WuS_qYQZhrMExJ5ZQ,YbU7_ojR04U,youtube#comment,imMePnVSrwJMqqC2hIznNspAIKA,UgwJOMwYDgt9JEdkr7p4AaABAg,UC5I6U4WuS_qYQZhrMExJ5ZQ,YbU7_ojR04U,Can u tell us about first home buyer scheme? Are there any discounts offered to first time home buyers?,Can u tell us about first home buyer scheme? Are there any discounts offered to first time home buyers?,@hafsaamjad1671,https://yt3.ggpht.com/7ZVFO_SW-9iWapQb4fJESGfiydIdM7XRcJQ52m_Frt7PU1lgQ7Pn8C7S3Cb6gwn_zxSANbq9ig=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@hafsaamjad1671,UCdZFyD8sqkq5BEMsQUwgvEQ,True,none,0,2024-10-26T09:51:05Z,2024-10-26T09:51:05Z,True,0,True,
